Description,Price,Rating,ReviewCount,URL
Yashvin Hydraulic Jack for All Cars (Universal) 3000 kg,₹930,3.0 out of 5 stars,4,https://www.amazon.in//Hydraulic-Jack-Cars-Universal-3000/dp/B07JM225N2/ref=sr_1_19?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-19
Lifto 5 Ton Universal Hydraulic Bottle Blue Jack for Big Cars Indica Vista,"₹1,029",3.1 out of 5 stars,42,https://www.amazon.in//LIFTO-LFT-05-Universal-Hydraulic-Indica/dp/B071KWCR24/ref=sr_1_20?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-20
Robostore India Thinkcar Thinkdiag Auto Diagnostic Car Scanner for Suzuki Mahindra tata hyundai audi bmw nissan vw (Included free eobd software) (THINKDIAG),"₹9,999",3.4 out of 5 stars,34,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09780501FVGM2TGSGAB0&url=%2FRobostore-India-Thinkdiag-Diagnostic-THINKDIAG%2Fdp%2FB08FNML7MG%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bjack%26qid%3D1605689970%26sr%3D8-21-spons%26psc%3D1&qualifier=1605689970&id=1009394081174370&widgetName=sp_mtf
ZORBES T16897 12V Digital Battery Alternator Tester - 6 LED Lights Display Indicates Condition,₹658,3.4 out of 5 stars,62,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09191488O09UTVWA92V&url=%2FZorbes-Digital-Alternator-Indicates-Condition%2Fdp%2FB07D3848FY%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bjack%26qid%3D1605689970%26sr%3D8-22-spons%26psc%3D1&qualifier=1605689970&id=1009394081174370&widgetName=sp_mtf
"VVJ Empire Tubeless Tyre Puncture Kit Emergency, Flat Tire Puncher Repair Patch Tool Kit for Complete Kit with Easy Storage Nylon Bag",₹299,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A087861233OHSYY3XXBRI&url=%2FTubeless-Puncture-Emergency-Puncher-Complete%2Fdp%2FB08LN98QSZ%2Fref%3Dsr_1_23_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bjack%26qid%3D1605689970%26sr%3D8-23-spons%26psc%3D1&qualifier=1605689970&id=1009394081174370&widgetName=sp_mtf
"GT Portable High Pressure Foot Air Foot Pump Steel Chrome Plated Body Use for Bike, Car, Bicycles & All Other Vehicles & Football",₹499,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0478720NGYJ9KYE3N3O&url=%2FPortable-Pressure-Bicycles-Vehicles-Football%2Fdp%2FB08KTMWQC1%2Fref%3Dsr_1_24_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bjack%26qid%3D1605689970%26sr%3D8-24-spons%26psc%3D1&qualifier=1605689970&id=1009394081174370&widgetName=sp_mtf
Generic Car Hydraulic Bottle Jack 3 Ton for All Small Cars,"₹1,049",3.5 out of 5 stars,15,https://www.amazon.in//Generic-Hydraulic-Bottle-Jack-Small/dp/B07VJ2KZZB/ref=sr_1_25?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-25
Gallop KC1004 5Ton Premium Hydraulic Bottle Jack,"₹1,058",3.7 out of 5 stars,36,https://www.amazon.in//Gallop-KC1004-Premium-Hydraulic-Bottle/dp/B072HTGD86/ref=sr_1_26?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-26
MEHAR SONS EXPORTS Nelson Rigg Products 10 Ton Hydraulic Jack for Car Lifting Device to Lift Heavy Loads (Red),"₹1,870",3.0 out of 5 stars,6,https://www.amazon.in//Hydraulic-Heavy-Lifting-Device-Loads/dp/B07BQVK7LM/ref=sr_1_27?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-27
"Amar Hydraulic Bottle Jack 3 Ton for All Cars and SUV(Blue,RED,Black)",₹999,3.4 out of 5 stars,9,https://www.amazon.in//Amar-Hydraulic-Bottle-Jack-Black/dp/B07TLY4ZBN/ref=sr_1_28?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-28
